Faculty Name,Publication,Date
Dr Venkatrama Phani Kumar S,"Vallabhajosyula, Sasikala, Venkatramaphanikumar Sistla, and Venkata Krishna Kishore Kolli. ""Transfer learning-based deep ensemble neural network for plant leaf disease detection."" Journal of Plant Diseases and Protection 129.3 (2022): 545-558. {SCIE, 1.9}",2022 June
Dr Venkatrama Phani Kumar S,"Shaik, Riyaz, and S. Venkatramaphanikumar. ""Sentiment analysis with wordbased Urdu speech recognition."" Journal of Ambient Intelligence and Humanized Computing 13.5 (2022): 2511-2531. {SCIE, IF: 2.7}",2022 January
Dr Venkatrama Phani Kumar S,"Edara, D.C., Vanukuri, L.P., Venkatrama Phani Kumar S, K V Krishna Kishore, Sentiment analysis and text categorization of cancer medical records with LSTM. Journal of Ambient Intelligence and Humanized Computing (2019). {SCIE, IF: 7.1}",2020 January
Dr MD OQAIL AHMAD,"Sanjeev Kumar Mandal, Amit Sharma, Madhuri Agrawal, Md Oqail Ahmad, Dr Dileep Pulugu, Chandradeep Bhatt, Rajanish Kumar Kaushal, “Deep Learning for Enhanced Visibility with Convolutional Adversarial Image Synthesis Networks for Image Dehazing and Clarity Enhancement, Journal for Control, Measurement, Electronics, Computing and Communications, Automatika, 2024. SCIE. Revision",2024 May
Dr MD OQAIL AHMAD,"M Shunmugasundaram, Md Oqail Ahmad, T. Subha, A Tamizhselvi, Sujatha Kamepalli, T Krishnan, “An Effective Method for managing Waste in Smart Cities based on Deep Residual Neural Network Approach”, Journal of Environmental Protection and Ecology, Publisher: Scibulcom Ltd. ISSN:1311-5065, (Vol. 25, Issue 2, pp. 420–429), 2024 (Scopus Index) https://scibulcom.net/en/article/9shvmk4LhQicsESGPdcU",2024 April
Dr MD OQAIL AHMAD,"Dr. Suresh Palarimath, Dr. Subburaj V, Gunjan Chhabra, Dr. P. Ramesh, J.Somasekar, Md Oqail Ahmad, G N Beena Bethel, “Facial Emotion Recognition for Feature Extraction and Ensemble Learning Using Hierarchical Cascade Regression Neural Networks and Random Forest”, Journal of Intelligent and Fuzzy Systems, 2024. SCIE. Revision",2024 March
Dr MD OQAIL AHMAD,"Alsadig Hadi Alsadig, Md Oqail Ahmad,""Phishing URL Detection Using Deep Learning with CNN Models"", 2024 Second International Conference on Intelligent Cyber Physical Systems and Internet of Things (ICoICI), Pages 768-775, Publisher IEEE",2023 October
Dr MD OQAIL AHMAD,"Md Oqail Ahmad and Rafiqul Zaman Khan, “An efficient load balancing scheduling strategy for cloud computing based on hybrid approach”, International Journal of Cloud Computing, Vol. 9, Issue 4, 2020. InderScience Publication. (Scopus Index).",2020 December
Dr MD OQAIL AHMAD,"Md Oqail Ahmad and Rafiqul Zaman Khan, “Optimized Hyper Heuristic Scheduling using Adaptive Load Balancing Algorithm in Cloud Computing”, Journal of Seybold Report, Vol. 15 No. 7, pp. 559-570, ISSN N0: 1533-9211. 2020 (Scopus Indexed).",2020 October
Dr MD OQAIL AHMAD,"Md Oqail Ahmad and Rafiqul Zaman Khan, “PSO-based Task Scheduling Algorithm using Adaptive Load Balancing Approach for Cloud Computing Environment“, International Journal of Scientific and Technology Research (IJSTR), ISSN 2277-8616, Vol. 8, Issue 11, pp. 457-462, November 2019. (Scopus Index).",2020 September
Dr MD OQAIL AHMAD,"Md Oqail Ahmad and Rafiqul Zaman Khan, “Cloud Computing Modeling and Simulation using CloudSim Environment”, International Journal of Recent Technology and Engineering (IJRTE) ISSN: 2277-3878, Volume-8 Issue-2, pp. 5439-5445, July 2019. (Scopus Indexed).",2020 August
Dr MD OQAIL AHMAD,"Rafiqul Zaman Khan and Md Oqail Ahmad, “A Survey on Load Balancing Algorithms in Cloud Computing”, International Journal of Autonomic Computing (IJAC), 2018. InderScience Publication (ACM Digital Library).",2018 August
Dr Keerthi G,Adaptive Quantum Artificial Flora Optimization for Feature Selection in High-Dimensional Data,2025 December
Dr Keerthi G,Development of various current genetic algorithms,2025 September
Dr Keerthi G,Automated Chest X-ray Captioning and Report Generation Using CheXNet and BioGPT,2025 August
Dr Keerthi G,Advances in Feature Selection Using Memetic Algorithms: A Comprehensive Review,2025 June
Dr Keerthi G,An effective initialization for Fuzzy PSO with Greedy Forward Selection in feature selection,2025 January
Dr Keerthi G,Enhancing feature selection in high-dimensional data with fuzzy fitness-integrated memetic algorithms,2024 September
Dr Keerthi G,A comparative analysis of filter and optimization methods for feature selection,2023 December
Dr Keerthi G,"Enhancing face emotion recognition through lbp, sift boosted cnn classification",2023 November
Dr Keerthi G,AI-based mental fatigue recognition and responsive recommendation system,2022 November
Dr Keerthi G,Real Time Cnn Based Detection of Face Mask Using Mobilenetv2 to Prevent Covid-19.,2021 June
Dr Keerthi G,Text and Image Classification using Conventional Machine Learning to Convolutional Neural Networks,2019 September
Dr Keerthi G,Nirbhaya - Protect the Woman from Unavoidable Circumstances Using Android Application,2018 October
Dr Keerthi G,"Cloudlet Deployment to Balance Energy Consumption in Wireless Networks: A Survey, Issues and Challenges",2017 July
Dr Bhimavarapu Krishna Reddy,"Reddy K, Bhattacharjee A. Experimental analysis of efficacy of carrier aggregation. Internet Technology Letters. 2024;7(6):e501. doi: 10.1002/itl2.501",2024 January
Dr Bhimavarapu Krishna Reddy,"Reddy, Krishna, and Biswanath Dey. ""Near field communication over cognitive radio networks: an overview."" International Journal of Computational Intelligence & IoT 1.2",2018 December
Dr K.V. KRISHNA KISHORE,"Vallabhajosyula, Sasikala, Venkatramaphanikumar Sistla, and Venkata Krishna Kishore Kolli. ""A novel hierarchical framework for plant leaf disease detection using residual vision transformer."" Heliyon 10.9 (2024). {SCIE, IF: 4}",2024 January
Dr K.V. KRISHNA KISHORE,"Tejaswi, Potluri, S. Venkatramaphanikumar, and K. Venkata Krishna Kishore. ""Proctor net: An AI framework for suspicious activity detection in online proctored examinations."" Measurement 206 (2023): 112266. {SCIE, IF: 5.1}",2023 January
Dr K.V. KRISHNA KISHORE,"Potluri, Tejaswi, and Venkata Krishna Kishore K. ""An automated online proctoring system using attentive-net to assess student mischievous behavior."" Multimedia Tools and Applications 82.20 (2023): 30375-30404. {SCIE, IF: 3.6}",2023 January
Dr K.V. KRISHNA KISHORE,"Siva Koteswara Rao Chinnam, Venkatramaphanikumar Sistla, Venkata Krishna Kishore Kolli, Multimodal attention-gated cascaded U-Net model for automatic brain tumor detection and segmentation, Biomedical Signal Processing and Control, Volume 78, 2022, 103907, ISSN 1746-8094. https://doi.org/10.1016/j.bspc.2022.103907. {SCIE, IF: 5.1}",2022 January
Dr K.V. KRISHNA KISHORE,"Vallabhajosyula, Sasikala, Venkatramaphanikumar Sistla, and Venkata Krishna Kishore Kolli. ""Transfer learning-based deep ensemble neural network for plant leaf disease detection."" Journal of Plant Diseases and Protection 129.3 (2022): 545-558. {SCIE, 1.9}",2022 January
Dr K.V. KRISHNA KISHORE,"Shaik, Riyaz, and S. Venkatramaphanikumar. ""Sentiment analysis with wordbased Urdu speech recognition."" Journal of Ambient Intelligence and Humanized Computing 13.5 (2022): 2511-2531. {SCIE, IF: 2.7}",2022 January
Dr K.V. KRISHNA KISHORE,"Edara, Deepak Chowdary, Venkatramaphanikumar Sistla, and Venkata Krishna Kishore Kolli. ""Deep finesse network model with multichannel syntactic and contextual features for target-specific sentiment classification."" Applied Intelligence 52.8 (2022): 8664-8684. {SCIE, IF: 5.1}",2022 January
Dr K.V. KRISHNA KISHORE,"Edara, D.C., Vanukuri, L.P., Venkatrama Phani Kumar S, K V Krishna Kishore, Sentiment analysis and text categorization of cancer medical records with LSTM. Journal of Ambient Intelligence and Humanized Computing (2019). {SCIE, IF: 7.1}",2020 January
Dr K Rachananjali,"• Omar H. AL-Zoubi, Muktha Eti, Carlos Rodriguez-Benites, Merwa Alhadrawi, Rachananjali Kunamneni, Ahmed Fouly, Emad Mahrous Awwad, Abhinav Kumar, Anaheed Hussein Kareem , “Fabrication of innovative ZnCo2O4/Ti3C2Tx MXene nanocomposite counter electrode to replace Pt in dye-sensitized solar cells and improve solar cell performance” in Materials Science in Semiconductor Processing, Vol 181, 108663, Oct 2024. Impact Factor 4.2",2024 October
Dr K Rachananjali,"• Shaik Moulana Samiulla, Rachananjali Kunamneni, “A novel development of a new single switch inductor coupled DC-DC converter for PV system with two-leg inverter” in Scientific Reports, Vol 14, Issue 1, 10734, Mar 2024. Impact Factor 3.8",2024 March
Dr K Rachananjali,"• Shraddha Kaushik, K. Rachananjali, Vijay Nath, “A novel LSTM-based EMS and interleaved DC-DC boost converter topology for real-time driving conditions in HEVs” in Electrical Engineering. Impact Factor 1.8 (Published online)",2024 January
Dr K Rachananjali,"• Oriza Candra · Abdeljelil Chammam, Mohammed. I. Alghamdi, Harikumar Pallathadka, Rachananjali Kunamneni, Rosario Mireya Romero-Parra, Hussein Ali Hussein, Amjad Ali, Ibrahim H. Al-Kharsan, Aymen Mohammed, “Optimal energy scheduling of the smart stand-alone electrical distribution grid considering power-to-gas storage technology and reserve strategy” in Electrical Engineering in Vol 106, Issue 2, 2024, pp 1939~1958. Impact Factor 1.8",2024 January
Dr K Rachananjali,"• Rachananjali K, Bala Krishna K, CH N Narasimha Rao, “Smart Grid Integrated Multilevel Inverter Designed For Photovoltaic conve4rsion” in TELEMATIQUE in Vol 22, Issue 1, 2023, pp 3180~3189. Impact Factor 1.75",2023 January
Dr K Rachananjali,"• Rachananjali K, Srinu Naik R, Bala Krishna K, Srinivasa Rao Y, “Efficient modeling and simulation of grid connected MMC for sustainable photovoltaic and wind conversion system” in Sustainable Computing: Informatics and Systems in Vol.28, Dec 2020,100402. Impact Factor 4.028",2023 January
Dr K Rachananjali,"• Bala Krishna K, Rachananjali K, “Arduino Based Solar tracking system” in Neuroquantology in Vol 20, Issue 10, Aug 2022, pp 11627~11631. Impact Factor 0.453",2022 August
Dr K Rachananjali,"• Rachananjali K, Bala Krishna K, CH N Narasimha Rao, “Automatic energy meter reading for multiple devices employing prepaid alerting system” in International Journal of Health Sciences in Sp 6, 2022, pp 6844~6853. Impact Factor 1.75",2022 January
Dr K Rachananjali,"• Bala Krishna K, Rachananjali K, CH N Narasimha Rao, “Obstacle avoiding robotic vehicle with arduino and ultrasonic sensor” in International Journal of Health Sciences in Sp 6, 2022, pp 6888~6898. Impact Factor 1.75",2022 January
Dr K Rachananjali,"• Rachananjali K, Shraddha K, “System Assimilation for an Efficient Power Split-Load sharing technology between battery, ultra capacitor & PY system on HEVs” Neuroquantology in Vol 20, Issue 10, Aug 2022, pp 11632~11635. Impact Factor 0.453",2022 January
Dr K Rachananjali,"• Y Srinivasa Rao, Rachananjali K, M K Pathak, “Zero sequence voltage injection method for DC cluster voltage equalization in cascaded H bridge D Statcom” in Neuroquantology in Vol 20, Issue 11, Oct 2022, pp 7532~7539. Impact Factor 0.453",2022 January
Dr K Rachananjali,"• Rachananjali K, Bala Krishna K, Jabeena Syed, “Implementation of Photovoltaic Based Cascaded H-Bridge Multilevel Inverter” in Journal of Green Engineering in Vol.11 (3), Mar 2021, pp 2660~2676. Impact Factor 1.58",2021 March
Dr K Rachananjali,"• Rachananjali K, Bala Krishna K, Aishma M, Sk Khamarjahan, “Arduino Primarily Based Robotic Household Appliance” in Converters Magazine in Vol.8, 2021, pp 88~92. Impact Factor 0.106",2021 January
Dr K Rachananjali,"• Bala Krishna K, Rachananjali K, Mercy Rosalina K, Srinivasa Rao Y, “Economic Analysis of a Power System Network using Optimal Placement of PMUs and DULRs through complete and incomplete observability analysis” in Journal of Electrical Engineering & Technology in Vol.16 No.1, 2021, pp 55~66. Impact Factor 1.15",2021 January
Dr K Rachananjali,"• Bala Krishna K, Rachananjali K, Narasimha Rao Ch, “Design and fabrication of a quadcopter for seed dropping application” in International Journal of Disaster Recovery and Business continuity in Vol.11 No.1, 2020, pp 1560~1564.",2020 January
Dr K Rachananjali,"• Narasimha Rao Ch, Bala Krishna K,Bharat Kumar N, Rachananjali K, , “Design and performance of Cascaded H bridge Multilevel inverter fed BLDC motor drive” in International Journal of Grid and Distributed computing in Vol.13 No.1, 2020, pp 1243~1251.",2020 January
Dr K Rachananjali,"• Rachananjali K, Srinu Naik R, “A grid connected modular multilevel converter for photovoltaic energy conversion” in Mathematical Modeling of Engineering Problems in Vol.6 (4), Dec 2019, pp 535~540. Impact Factor 1.659",2019 December
Dr K Rachananjali,"• Rachananjali K, Bala Krishna K, Sai Chaitanya V “Design and Implementation of Electrical Buggy” in Journal of Mechanics of Continua and Mathematical Sciences in Vol.14 (6), Dec 2019, pp 887~894.",2019 December
Dr K Rachananjali,"• Bala Krishna K, Rachananjali K, Naveen Reddy A, “Surveillance and Intrusion Detection system for critical installation” in Journal of Mechanics of Continua and Mathematical Sciences in Vol.14 (6), Dec 2019, pp 895~901.",2019 December
Dr K Rachananjali,"• Ch N Narasimha Rao, Bala Krishna K, Rachananjali K, Sravani V, “Unmanned Flying vehicles for various applications and their future scope in India” in Journal of Mechanics of Continua and Mathematical Sciences in Vol.14 (6), Dec 2019, pp 747~760.",2019 December
Dr K Rachananjali,"• Rachananjali K, Srinu Naik R, Bala Krishna K “Implementation of Modular Multilevel Inverter for Extraction of Wind Energy” in Journal of Green Engineering in Vol.9 (3), Oct 2019, pp 451~461. Impact Factor 1.58",2019 October
Dr K Rachananjali,"• Rachananjali K, Srinu Naik R, “Design and Implementation of Modular Multilevel Converter for Photovoltaic Energy Generation Using Hill Search Method” in International Journal of Engineering & Technology in Vol.7 (4.24),2018, pp 38~41. Impact Factor 0.103",2018 January
Dr K Rachananjali,"• Bala Krishna K, Rachananjali K, Srinivasa Rao Y, Naveen Reddy A, “Voltage control of multiple feeders by voltage regulator and instant DG” in European Journal of Electrical Engineering in Vol.20 (1),2018, pp 105~113. Impact Factor 0.269",2018 January
Dr K Rachananjali,"• Rachananjali K, Bala Krishna K, Suman S, Tejasree V, “Modelling of an ANFIS Controller for Series Parallel Hybrid Vehicle” in Artificial Intelligence and Evolutionary Computations in Engineering Systems, Advances in Intelligent Systems and Computing Vol 668, pp 631~643, 2018,ISSN:2194-5357. Impact Factor 0.626",2018 January
Dr K Rachananjali,"• Rachananjali K, Dr Srinu Naik R, K Suguna “Implementation of modular multilevel converter” in Journal of Advanced Research in Dynamical and Control Systems in Vol. 9, Issue 5, Oct 2017, pp 251~258, ISSN: 1943-023X. Impact Factor 0.308",2017 October
Dr K Rachananjali,"• Suguna K, Rachananjali K, Bala Krishna K and Sandeep M “Distributed Power Flow Controller (DPFC)” in Journal of Advanced Research in Dynamical and Control Systems in Vol. 9, Special Issue. 14, 2017, pp. 2783~2788 ISSN: 1943-023X. Impact Factor 0.308",2017 January
Dr K Rachananjali,"• Bala Krishna K, Rachananjali K, Rajani K and Purna Sai Teja “Design of MPPT based Solar Photo Voltaic System for Household Applications” in Journal of Advanced Research in Dynamical and Control Systems in Vol. 9, Special Issue. 14, 2017, pp. 2775~2781 ISSN: 1943-023X. Impact Factor 0.308",2017 January
Dr K Rachananjali,"• Rajani K, Rachananjali K, Bala Krishna K and V S L Tirumala “Speed control of single phase induction motor using single phase matrix converter” in International Journal of Control, Theory and Applications (IJCTA) in Vol. 9, No. 29, Oct 2016, pp. 267~271 ISSN: 0974-5572. Impact Factor 0.111",2016 October
Dr K Rachananjali,"• Suman S, Rachananjali K and Bala Krishna K “Triplet Deadly combination of renewable energy resources for generation of electric power” in International Journal of Control, Theory and Applications (IJCTA) in Vol. 8, No. 1, Jan-June 2015, pp. 85~94 ISSN: 0974-5572. Impact Factor 0.111",2015 January
